"","CTRL","DNEG","SSA","SSAB"
"IGHD3-10*01",2125,4372,7074,6240
"IGHD3-22*01",2339,3935,6422,6616
"IGHD6-13*01",1659,3934,5738,6905
"IGHD6-19*01",1923,3343,5398,5895
"IGHD3-3*01",1404,3417,4763,4028
"IGHD1-26*01",1453,2958,4107,3898
"IGHD2-15*01",1242,2546,4091,3569
"IGHD2-2*01",1290,2364,3897,2917
"IGHD4-17*01",1092,2222,3666,3162
"IGHD6-6*01",684,1873,2357,2317
"IGHD5-18*01",936,1428,2287,2135
"IGHD5-12*01",535,1333,2161,1715
"IGHD3-16*01",694,1469,1860,1612
"IGHD3-9*01",508,1073,1872,1519
"IGHD5-24*01",575,1005,1376,1228
"IGHD4-23*01",372,828,1213,1016
"IGHD1-1*01",430,918,1146,911
"IGHD2-21*02",373,681,1057,897
"IGHD4-11*01",303,728,931,708
"IGHD2-21*01",211,752,775,712
"IGHD3-16*02",241,506,800,736
"IGHD1-14*01",256,586,698,606
"IGHD1-7*01",254,575,739,539
"IGHD2-8*01",287,535,658,598
"IGHD2-2*02",234,472,557,402
"IGHD7-27*01",199,389,459,451
"IGHD2/OR15-2a*01",158,413,457,303
"IGHD2-8*02",67,303,406,261
"IGHD1-20*01",132,248,282,252
"IGHD6-25*01",83,234,262,237
"IGHD3/OR15-3a*01",107,245,276,187
"IGHD4/OR15-4a*01",68,167,156,130
"IGHD1/OR15-1a*01",59,125,127,89
"IGHD3-10*02",54,98,137,106
"IGHD5/OR15-5a*01",51,122,118,95
"IGHD3-3*02",36,87,135,97
"IGHD2-2*03",28,65,101,88
