"","CTRL","DNEG","SSA","SSAB"
"IGHD3-10",2179,4470,7211,6346
"IGHD3-22",2339,3935,6422,6616
"IGHD6-13",1659,3934,5738,6905
"IGHD6-19",1923,3343,5398,5895
"IGHD3-3",1440,3504,4898,4125
"IGHD1-26",1453,2958,4107,3898
"IGHD2-2",1552,2901,4555,3407
"IGHD2-15",1242,2546,4091,3569
"IGHD4-17",1092,2222,3666,3162
"IGHD3-16",935,1975,2660,2348
"IGHD6-6",684,1873,2357,2317
"IGHD5-18",936,1428,2287,2135
"IGHD5-12",535,1333,2161,1715
"IGHD2-21",584,1433,1832,1609
"IGHD3-9",508,1073,1872,1519
"IGHD5-24",575,1005,1376,1228
"IGHD4-23",372,828,1213,1016
"IGHD1-1",430,918,1146,911
"IGHD2-8",354,838,1064,859
"IGHD4-11",303,728,931,708
"IGHD1-14",256,586,698,606
"IGHD1-7",254,575,739,539
"IGHD7-27",199,389,459,451
"IGHD2/OR15-2a",158,413,457,303
"IGHD1-20",132,248,282,252
"IGHD6-25",83,234,262,237
"IGHD3/OR15-3a",107,245,276,187
"IGHD4/OR15-4a",68,167,156,130
"IGHD1/OR15-1a",59,125,127,89
"IGHD5/OR15-5a",51,122,118,95
