"","CTRL","DNEG","SSA","SSAB"
"IGHV3-23*01",2183,4828,4785,4109
"IGHV4-34*01",1088,1809,2789,4185
"IGHV3-21*01",927,1760,2867,2701
"IGHV1-69*01",0,1246,2730,4027
"IGHV4-39*01",1565,2005,2071,2259
"IGHV3-30*18",433,1879,3096,2448
"IGHV3-33*01",672,1581,2427,2699
"IGHV4-59*01",683,1635,2447,2394
"IGHV5-51*01",428,1646,2434,1824
"IGHV1-18*01",755,1122,2585,1815
"IGHV3-30-3*01",183,1059,2129,1629
"IGHV3-9*01",468,1106,1975,1353
"IGHV3-15*01",505,1098,1351,1703
"IGHV4-31*03",486,1310,1348,1438
"IGHV3-7*01",444,1002,1653,1170
"IGHV4-4*02",460,801,1141,1487
"IGHV3-48*03",205,619,1488,1416
"IGHV1-46*01",382,949,1158,1095
"IGHV3-74*01",520,843,1088,974
"IGHV1-3*01",440,640,1067,1235
"IGHV2-5*02",330,588,1086,1245
"IGHV3-11*01",215,756,1092,851
"IGHV1-2*02",523,857,1008,448
"IGHV3-23*04",248,26,1424,1135
"IGHV4-61*02",732,888,583,592
"IGHV1-8*01",301,536,1045,812
"IGHV3-53*01",2,596,943,737
"IGHV3-30*04",540,394,1070,253
"IGHV1-24*01",214,428,878,690
"IGHV3-48*02",138,650,781,610
"IGHV5-10-1*03",368,576,414,594
"IGHV3-7*03",379,331,548,671
"IGHV4-30-4*01",44,339,1081,411
"IGHV2-26*01",169,350,696,566
"IGHV6-1*01",245,442,484,515
"IGHV4-38-2*02",123,354,576,391
"IGHV4-59*08",250,578,317,259
"IGHV1-2*04",203,328,309,535
"IGHV4-39*07",3,367,470,501
"IGHV1-18*04",209,680,31,407
"IGHV4-61*01",4,214,609,492
"IGHV1-69*06",0,239,768,290
"IGHV3-15*07",1,142,805,347
"IGHV3-49*04",54,163,560,395
"IGHV3-30*01",97,12,160,858
"IGHV5-51*03",585,65,0,458
"IGHV1-2*06",5,156,536,405
"IGHV2-70*01",0,193,396,508
"IGHV4-4*07",195,329,365,187
"IGHV3-48*01",377,63,143,481
"IGHV4-30-2*01",61,200,429,253
"IGHV3-53*02",198,33,269,412
"IGHV1-69*04",119,639,152,0
"IGHV3-11*06",118,268,221,301
"IGHV3-30*03",62,278,327,211
